     CD_induced       CL 
   0.01932548        -0.7149159  
   0.01843923        -0.6968257  
   0.01757352        -0.6787182  
   0.01672846        -0.6605937  
   0.01590415        -0.6424529  
   0.01510068        -0.6242961  
   0.01431815        -0.6061237  
   0.01355665        -0.5879363  
   0.01281627        -0.5697342  
   0.01209709        -0.5515178  
    0.0113992        -0.5332878  
   0.01072268        -0.5150443  
   0.01006761        -0.4967881  
  0.009434065        -0.4785194  
  0.008822115        -0.4602387  
  0.008231834        -0.4419465  
  0.007663288        -0.4236433  
  0.007116543        -0.4053294  
  0.006591661        -0.3870054  
  0.006088703        -0.3686716  
  0.005607726        -0.3503286  
  0.005148784        -0.3319768  
  0.004711929        -0.3136166  
   0.00429721        -0.2952486  
  0.003904674        -0.2768731  
  0.003534364        -0.2584906  
  0.003186322        -0.2401017  
  0.002860586        -0.2217066  
  0.002557191         -0.203306  
   0.00227617        -0.1849002  
  0.002017553        -0.1664897  
  0.001781369         -0.148075  
  0.001567641        -0.1296565  
  0.001376391        -0.1112348  
  0.001207639       -0.09281013  
    0.0010614       -0.07438312  
 0.0009376899       -0.05595418  
  0.000836518       -0.03752377  
  0.000757893       -0.01909236  
 0.0007018204      -0.000660409  
 0.0006683028        0.01777163  
 0.0006573402        0.03620329  
 0.0006689297        0.05463411  
  0.000703066        0.07306363  
 0.0007597406         0.0914914  
 0.0008389426         0.1099169  
 0.0009406582         0.1283398  
  0.001064871         0.1467595  
  0.001211561         0.1651756  
  0.001380707         0.1835877  
  0.001572284         0.2019952  
  0.001786265         0.2203978  
  0.002022619         0.2387949  
  0.002281314         0.2571861  
  0.002562313          0.275571  
  0.002865578          0.293949  
  0.003191069         0.3123198  
  0.003538741         0.3306829  
  0.003908548         0.3490378  
  0.004300441          0.367384  
  0.004714368         0.3857211  
  0.005150273         0.4040487  
  0.005608101         0.4223663  
  0.006087791         0.4406734  
  0.006589279         0.4589697  
  0.007112502         0.4772545  
  0.007657391         0.4955276  
  0.008223875         0.5137884  
  0.008811881         0.5320365  
  0.009421333         0.5502714  
   0.01005215         0.5684927  
   0.01070426            0.5867  
   0.01137757         0.6048927  
     0.012072         0.6230706  
   0.01278745          0.641233  
   0.01352384         0.6593796  
   0.01428107           0.67751  
   0.01505905         0.6956236  
   0.01585767         0.7137201  
   0.01667684          0.731799  
   0.01751645         0.7498598  
   0.01837639         0.7679022  
   0.01925655         0.7859257  
   0.02015683         0.8039299  
   0.02107711         0.8219143  
   0.02201727         0.8398786  
   0.02297719         0.8578222  
   0.02395675         0.8757447  
   0.02495583         0.8936458  
    0.0259743          0.911525  
   0.02701203         0.9293819  
   0.02806889          0.947216  
   0.02914475         0.9650269  
   0.03023947         0.9828143  
   0.03135292          1.000578  
   0.03248494          1.018317  
   0.03363541          1.036031  
   0.03480417           1.05372  
   0.03599107          1.071383  

