     CD_induced       CL   
   0.01163611        -0.6238576  
   0.01102085        -0.6070885  
   0.01042156        -0.5903049  
    0.0098383         -0.573507  
   0.00927116        -0.5566954  
  0.008720215        -0.5398702  
  0.008185542        -0.5230321  
  0.007667214        -0.5061812  
  0.007165302         -0.489318  
  0.006679876        -0.4724428  
  0.006211004        -0.4555561  
  0.005758751        -0.4386582  
  0.005323181        -0.4217496  
  0.004904356        -0.4048305  
  0.004502334        -0.3879013  
  0.004117174        -0.3709626  
   0.00374893        -0.3540145  
  0.003397655        -0.3370576  
  0.003063402        -0.3200921  
  0.002746219        -0.3031186  
  0.002446153        -0.2861373  
  0.002163249        -0.2691487  
   0.00189755        -0.2521531  
  0.001649097         -0.235151  
  0.001417928        -0.2181427  
   0.00120408        -0.2011286  
  0.001007588        -0.1841091  
 0.0008284827        -0.1670846  
 0.0006667956        -0.1500555  
 0.0005225545        -0.1330222  
 0.0003957852         -0.115985  
 0.0002865115       -0.09894434  
 0.0001947552       -0.08190064  
 0.0001205359       -0.06485428  
 6.387079e-05       -0.04780565  
  2.47753e-05       -0.03075513  
 3.262531e-06       -0.01370312  
-6.565432e-07       0.003349984  
 1.302693e-05         0.0204038  
 4.431964e-05        0.03745793  
 9.322615e-05        0.05451198  
 0.0001597489        0.07156556  
  0.000243888        0.08861828  
 0.0003456418         0.1056697  
 0.0004650061         0.1227196  
 0.0006019748         0.1397673  
 0.0007565395         0.1568127  
 0.0009286898         0.1738552  
  0.001118413         0.1908945  
  0.001325695         0.2079302  
  0.001550517          0.224962  
  0.001792862         0.2419893  
  0.002052708         0.2590118  
  0.002330032         0.2760292  
  0.002624809          0.293041  
   0.00293701         0.3100468  
  0.003266606         0.3270464  
  0.003613565         0.3440391  
  0.003977854         0.3610248  
  0.004359436          0.378003  
  0.004758273         0.3949732  
  0.005174325         0.4119352  
   0.00560755         0.4288885  
  0.006057902         0.4458327  
  0.006525336         0.4627675  
  0.007009802         0.4796925  
  0.007511251         0.4966072  
  0.008029628         0.5135114  
   0.00856488         0.5304045  
  0.009116949         0.5472863  
  0.009685777         0.5641563  
    0.0102713         0.5810142  
   0.01087346         0.5978596  
   0.01149219         0.6146921  
   0.01212742         0.6315114  
   0.01277908         0.6483169  
    0.0134471         0.6651085  
   0.01413141         0.6818856  
   0.01483194         0.6986479  
    0.0155486         0.7153951  
   0.01628131         0.7321268  
      0.01703         0.7488425  
   0.01779458          0.765542  
   0.01857497         0.7822248  
   0.01937108         0.7988905  
   0.02018282         0.8155389  
    0.0210101         0.8321696  
   0.02185282         0.8487821  
    0.0227109         0.8653761  
   0.02358423         0.8819512  
   0.02447272         0.8985071  
   0.02537626         0.9150434  
   0.02629476         0.9315598  
   0.02722811         0.9480559  
    0.0281762         0.9645313  
   0.02913893         0.9809856  
   0.03011618         0.9974186  
   0.03110785           1.01383  
   0.03211382          1.030219  

