     CD       		CL    
   0.02825734        -0.7141272  
   0.02730061        -0.6960625  
   0.02636714          -0.67798  
    0.0254567        -0.6598803  
   0.02456949        -0.6417636  
    0.0237048        -0.6236306  
   0.02286297        -0.6054816  
   0.02204269         -0.587317  
   0.02124639        -0.5691373  
   0.02047468         -0.550943  
   0.01972679        -0.5327344  
   0.01900198         -0.514512  
   0.01830038        -0.4962764  
   0.01762293        -0.4780278  
   0.01696932        -0.4597668  
   0.01633865        -0.4414938  
    0.0157298        -0.4232093  
   0.01512924        -0.4049137  
   0.01456713        -0.3866074  
    0.0140284         -0.368291  
   0.01350888        -0.3499648  
   0.01298626        -0.3316294  
   0.01250674        -0.3132851  
   0.01209917        -0.2949324  
   0.01171388        -0.2765719  
   0.01134653        -0.2582038  
   0.01100737        -0.2398288  
   0.01069588        -0.2214472  
   0.01041117        -0.2030595  
   0.01014659        -0.1846662  
  0.009899198        -0.1662677  
  0.009678208        -0.1478644  
  0.009479071        -0.1294569  
   0.00930302        -0.1110456  
  0.009154978         -0.092631  
  0.009037362       -0.07421347  
  0.008927662       -0.05579352  
  0.008837381        -0.0373716  
  0.008771925       -0.01894817  
  0.008729093     -0.0005236958  
  0.008711012        0.01790136  
  0.008715894        0.03632655  
  0.008744449         0.0547514  
  0.008799486        0.07317546  
  0.008874879        0.09159826  
  0.008971949         0.1100194  
  0.009086175         0.1284383  
  0.009219595         0.1468545  
  0.009370802         0.1652677  
  0.009542535         0.1836774  
  0.009740529          0.202083  
  0.009965437         0.2204841  
    0.0102171         0.2388803  
   0.01048662         0.2572711  
   0.01077296         0.2756561  
   0.01107122         0.2940348  
    0.0113854         0.3124067  
   0.01171755         0.3307713  
   0.01206891         0.3491283  
   0.01244093         0.3674772  
   0.01284037         0.3858174  
    0.0132653         0.4041487  
   0.01371568         0.4224704  
    0.0141882         0.4407822  
   0.01468448         0.4590835  
   0.01520621          0.477374  
   0.01575263         0.4956532  
   0.01632371         0.5139207  
    0.0169109         0.5321759  
   0.01752591         0.5504184  
   0.01816729         0.5686479  
   0.01883266         0.5868638  
   0.01952032         0.6050657  
   0.02023058         0.6232531  
   0.02096881         0.6414256  
   0.02173588         0.6595828  
   0.02252796         0.6777242  
   0.02334078         0.6958494  
   0.02417239         0.7139579  
   0.02502568         0.7320493  
   0.02589706         0.7501232  
   0.02678716         0.7681791  
   0.02769901         0.7862165  
   0.02863538         0.8042351  
     0.029595         0.8222345  
   0.03057951         0.8402141  
   0.03158853         0.8581735  
   0.03262199         0.8761124  
   0.03367895         0.8940302  
    0.0347585         0.9119266  
   0.03586003         0.9298012  
   0.03698229         0.9476535  
    0.0381261          0.965483  
     0.039292         0.9832894  
    0.0404785          1.001072  
   0.04168495          1.018831  
   0.04291067          1.036566  
   0.04415542          1.054275  
   0.04541844           1.07196  

