     CD             CL   
   0.02874386        -0.7149159  
   0.02777139        -0.6968257  
   0.02682313        -0.6787182  
   0.02589844        -0.6605937  
   0.02499754        -0.6424529  
   0.02412037        -0.6242961  
   0.02326678        -0.6061237  
   0.02243511        -0.5879363  
   0.02162648        -0.5697342  
   0.02084104        -0.5515178  
   0.02007947        -0.5332878  
   0.01934213        -0.5150443  
   0.01862706        -0.4967881  
     0.017935        -0.4785194  
   0.01726596        -0.4602387  
   0.01662027        -0.4419465  
   0.01599684        -0.4236433  
   0.01539659        -0.4053294  
   0.01482274        -0.3870054  
   0.01427551        -0.3686716  
   0.01375498        -0.3503286  
   0.01326255        -0.3319768  
    0.0127991        -0.3136166  
   0.01236264        -0.2952486  
   0.01195044        -0.2768731  
   0.01156218        -0.2584906  
   0.01118985        -0.2401017  
   0.01084307        -0.2217066  
   0.01053854         -0.203306  
   0.01026324        -0.1849002  
   0.01001174        -0.1664897  
  0.009777096         -0.148075  
  0.009564606        -0.1296565  
  0.009379948        -0.1112348  
  0.009224778       -0.09281013  
  0.009096312       -0.07438312  
  0.008988951       -0.05595418  
  0.008911191       -0.03752377  
  0.008858218       -0.01909236  
  0.008829907      -0.000660409  
  0.008825985        0.01777163  
  0.008847655        0.03620329  
  0.008893362        0.05463411  
  0.008952241        0.07306363  
  0.009031675         0.0914914  
  0.009134054         0.1099169  
  0.009254759         0.1283398  
  0.009392863         0.1467595  
   0.00955145         0.1651756  
  0.009726045         0.1835877  
  0.009917926         0.2019952  
   0.01013005         0.2203978  
    0.0103586         0.2387949  
   0.01061442         0.2571861  
    0.0109006          0.275571  
   0.01120882          0.293949  
   0.01153342         0.3123198  
   0.01187181         0.3306829  
   0.01222524         0.3490378  
   0.01259807          0.367384  
   0.01298845         0.3857211  
   0.01339955         0.4040487  
   0.01383484         0.4223663  
   0.01429772         0.4406734  
   0.01478777         0.4589697  
   0.01530529         0.4772545  
   0.01585179         0.4955276  
   0.01642294         0.5137884  
   0.01702251         0.5320365  
   0.01765248         0.5502714  
   0.01830812         0.5684927  
   0.01898995            0.5867  
   0.01969704         0.6048927  
   0.02042894         0.6230706  
   0.02118336          0.641233  
   0.02195917         0.6593796  
   0.02275655           0.67751  
   0.02357499         0.6956236  
   0.02441513         0.7137201  
   0.02527589          0.731799  
   0.02615789         0.7498598  
   0.02706081         0.7679022  
   0.02798636         0.7859257  
   0.02893424         0.8039299  
    0.0299037         0.8219143  
   0.03089631         0.8398786  
   0.03191119         0.8578222  
   0.03294785         0.8757447  
   0.03400604         0.8936458  
   0.03508518          0.911525  
   0.03618601         0.9293819  
    0.0373072          0.947216  
   0.03844913         0.9650269  
    0.0396115         0.9828143  
   0.04079433          1.000578  
   0.04199765          1.018317  
   0.04322273          1.036031  
   0.04446578           1.05372  
   0.04572877          1.071383  

