     CD             CL  
   0.02783492        -0.7141272  
   0.02690038        -0.6960625  
   0.02598886          -0.67798  
   0.02509959        -0.6598803  
   0.02423328        -0.6417636  
    0.0233899        -0.6236306  
   0.02256957        -0.6054816  
   0.02177119         -0.587317  
   0.02099516        -0.5691373  
   0.02024124         -0.550943  
   0.01950941        -0.5327344  
   0.01879994         -0.514512  
   0.01811369        -0.4962764  
   0.01744981        -0.4780278  
   0.01681272        -0.4597668  
   0.01620096        -0.4414938  
   0.01561288        -0.4232093  
   0.01504794        -0.4049137  
   0.01450597        -0.3866074  
   0.01398792         -0.368291  
   0.01349235        -0.3499648  
   0.01301866        -0.3316294  
    0.0125692        -0.3132851  
   0.01214831        -0.2949324  
   0.01175602        -0.2765719  
   0.01139141        -0.2582038  
   0.01105145        -0.2398288  
   0.01073738        -0.2214472  
   0.01044707        -0.2030595  
   0.01017803        -0.1846662  
  0.009932359        -0.1662677  
  0.009707186        -0.1478644  
  0.009502477        -0.1294569  
  0.009322641        -0.1110456  
  0.009162677         -0.092631  
  0.009028116       -0.07421347  
  0.008910008       -0.05579352  
  0.008805734        -0.0373716  
  0.008728482       -0.01894817  
  0.008677069     -0.0005236958  
  0.008643293        0.01790136  
  0.008629388        0.03632655  
  0.008646551         0.0547514  
  0.008679624        0.07317546  
  0.008738585        0.09159826  
  0.008825338         0.1100194  
   0.00893197         0.1284383  
  0.009062911         0.1468545  
   0.00921944         0.1652677  
  0.009400557         0.1836774  
  0.009602934          0.202083  
  0.009825431         0.2204841  
   0.01006778         0.2388803  
   0.01033191         0.2572711  
   0.01061605         0.2756561  
   0.01091719         0.2940348  
   0.01123757         0.3124067  
   0.01157501         0.3307713  
   0.01193163         0.3491283  
   0.01230922         0.3674772  
   0.01270946         0.3858174  
   0.01313187         0.4041487  
   0.01357743         0.4224704  
   0.01404546         0.4407822  
   0.01453759         0.4590835  
   0.01505435          0.477374  
   0.01559582         0.4956532  
    0.0161616         0.5139207  
   0.01675314         0.5321759  
   0.01737005         0.5504184  
   0.01801097         0.5686479  
   0.01867491         0.5868638  
   0.01936085         0.6050657  
   0.02006839         0.6232531  
     0.020797         0.6414256  
   0.02154879         0.6595828  
   0.02232443         0.6777242  
   0.02312163         0.6958494  
    0.0239325         0.7139579  
   0.02476142         0.7320493  
   0.02560985         0.7501232  
   0.02647837         0.7681791  
   0.02736996         0.7862165  
    0.0282902         0.8042351  
   0.02923731         0.8222345  
   0.03021078         0.8402141  
   0.03120853         0.8581735  
   0.03222921         0.8761124  
   0.03327421         0.8940302  
   0.03434099         0.9119266  
   0.03542897         0.9298012  
   0.03653831         0.9476535  
   0.03767009          0.965483  
    0.0388239         0.9832894  
   0.03999775          1.001072  
   0.04119182          1.018831  
   0.04240563          1.036566  
   0.04363916          1.054275  
    0.0448921           1.07196  

