Range [NM],Range [km],Payload [kg],Fuel [kg],Take-off Mass [kg],DOC,ASK,Engine Cost Share,Capital,Crew,Maintenance,Fuel,Payload Handling,Landing Fees,ATC Fees
10,18.52,31220.0,24.928301886786357,110076.92830188679,41343228.6621201,2.3291612363062644,0.188,15226246,6843652,8737577,233728.26270568484,2497193.5487217163,98235.39931963157,7706596.451373061
20,37.04,31220.0,49.85660377358727,110101.85660377359,41491711.44998816,1.182777795270108,0.188,15226246,6843652,8684494,461917.67585593194,2465977.244128714,194142.834140814,7615281.6958626965
30,55.56,31220.0,74.78490566037362,110126.78490566037,41636715.50427754,0.8006499581236926,0.188,15226246,6843652,8632653,684762.8218249896,2435492.035119188,287804.08694479376,7526105.560388567
40,74.08,31220.0,99.71320754717453,110151.71320754717,41778363.74701379,0.609586052984911,0.188,15226246,6843652,8582013,902449.2741231305,2405712.5352427643,379297.153809783,7438993.783838113
50,92.60000000000001,31220.0,124.64150943396089,110176.64150943396,41916769.59772295,0.4949476997039336,0.188,15226246,6843652,8532531,1115154.1128006687,2376614.519954056,468696.46103441954,7353875.503933803
60,111.12,31220.0,149.5698113207618,110201.56981132076,42052044.39780146,0.41852213529445037,0.188,15226246,6843652,8484169,1323046.4048702642,2348174.8608910437,556073.0670576034,7270683.064982548
70,129.64000000000001,31220.0,174.49811320754816,110226.49811320755,42184292.806401625,0.3639324466649153,0.188,15226246,6843652,8436889,1526287.6524826267,2320371.46456452,641494.8508260555,7189351.8385284245
80,148.16,31220.0,199.42641509433452,110251.42641509433,42313615.17004214,0.3229901797008144,0.188,15226246,6843652,8390655,1725032.2113566035,2293183.215116985,725026.6876590458,7109820.055909509
90,166.68,31220.0,224.35471698113543,110276.35471698114,42440107.86795303,0.29114619613913345,0.188,15226246,6843652,8345433,1919427.681738746,2266589.9208393344,806730.6135678788,7032028.651807076
100,185.20000000000002,31220.0,249.28301886792178,110301.28301886792,42563861.63499468,0.2656710038347368,0.188,15226246,6843652,8301189,2109615.273974788,2240572.26416065,886665.9789048197,6955921.11795442
110,203.72,31220.0,274.2113207547227,110326.21132075472,42684966.8638328,0.2448276735670519,0.188,15226246,6843652,8257894,2295730.150597073,2215111.75485076,964889.5921412089,6881443.366243761
120,222.24,31220.0,299.13962264150905,110351.13962264151,42803504.88790488,0.22745822473611793,0.188,15226246,6843652,8215515,2477901.746666395,2190190.6861973577,1041455.8545067483,6808543.60053438
130,240.76000000000002,31220.0,324.0679245282954,110376.0679245283,42919558.24659091,0.2127610013489489,0.188,15226246,6843652,8174025,2656254.0699675,2165792.09393938,1116416.8861605488,6737172.196523483
140,259.28000000000003,31220.0,348.9962264150963,110400.9962264151,43033203.93387789,0.20016338211931556,0.188,15226246,6843652,8133396,2830905.9825182413,2141899.717756509,1189822.6445088787,6667281.589094263
150,277.8,31220.0,373.9245283018827,110425.92452830188,43144515.63170558,0.1892454441129419,0.188,15226246,6843652,8093601,3001971.464736607,2118497.9651310947,1261721.0352340431,6598826.166603836
160,296.32,31220.0,398.8528301886836,110450.85283018868,43253563.92908436,0.17969224472362913,0.188,15226246,6843652,8054614,3169559.863500479,2095571.8774136866,1332158.0165529288,6531762.171617268
170,314.84000000000003,31220.0,423.78113207546994,110475.78113207547,43360419.527984485,0.17126295715411807,0.188,15226246,6843652,8016413,3333776.1252316567,2073107.0979370305,1401177.6971820265,6466047.607633771
180,333.36,31220.0,448.70943396227085,110500.70943396227,43465145.43692243,0.16377025329916617,0.188,15226246,6843652,7978972,3494721.0150517947,2051089.8420356605,1468822.4284477266,6401642.151387248
